num,word,BMC01,BMC02,BMC03,BMC04,BMC05,BMC08,BMC09,BMC10,WMC01,WMC02,WMC03,WMC04,WMC05,WMC07,WMC08,WMC09
81,OAK,4,2,4,2,4,1,3,3,2,2,3,3,3,3,3,4
82,ODD,3,2,4,2,2,1,3,3,1,2,3,3,3,3,2,4
83,PAGE,4,3,2,2,4,1,3,3,2,3,3,3,3,3,2,4
84,PAIL,3,3,1,2,4,1,2,3,2,3,3,3,3,3,3,3
85,PAIR,3,3,1,2,4,1,3,3,2,3,3,3,3,3,3,4
86,PARK,4,2,1,2,4,1,2,3,2,3,3,3,3,3,3,4
87,PASS,3,2,1,2,1,1,3,3,2,3,3,3,3,3,3,4
88,PAUSE,4,2,3,2,4,1,2,3,2,3,3,3,3,3,3,4
89,PEACE,3,3,3,2,4,1,3,3,2,3,3,3,3,3,3,3
90,PEAK,4,3,1,2,4,2,3,3,2,2,3,3,3,3,3,4
91,PEER,4,3,3,2,4,1,3,3,2,2,3,3,3,3,3,4
92,PEN,3,2,3,2,4,1,2,3,2,3,2,3,3,3,3,4
93,PHASE,4,2,2,2,4,1,2,3,2,2,2,3,3,3,3,4
94,PIE,4,2,2,2,4,1,3,3,2,3,3,3,3,3,3,4
95,PINE,4,2,1,2,4,1,3,3,2,3,3,3,3,3,3,4
96,PLAIN,3,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
97,PLANT,4,2,1,2,4,1,4,3,2,2,3,3,3,3,3,3
98,PLAQUE,4,3,3,1,4,1,2,3,2,2,3,3,3,3,3,4
99,POOR,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,3
100,POT,4,2,4,2,4,1,2,3,2,3,3,3,3,3,3,4
101,PRAISE,3,2,2,2,4,1,3,3,2,2,2,3,3,3,3,4
102,PRESS,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
103,PRICK,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
104,PRINCE,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,1
105,PROSE,4,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
106,PRUNE,4,2,2,2,4,1,2,3,2,3,3,3,3,3,3,4
107,PURSE,4,2,1,2,4,1,3,2,2,3,3,3,3,3,3,4
108,QUACK,3,2,1,2,4,1,3,3,2,3,3,3,3,3,3,4
109,QUEEN,4,2,2,2,4,1,3,3,2,2,2,3,3,3,3,4
110,RAISE,4,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
111,RANK,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
112,RAP,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
113,RASH,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
114,RING,4,2,4,2,2,1,2,3,2,2,3,3,2,3,3,4
115,RIP,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
116,ROAD,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
